img,alpha,FID
img0,-0.2500,251.9444750722343
img20,-0.2000,239.41896166235068
img40,-0.1500,247.270898210883
img60,-0.1000,243.0865803090637
img80,-0.0500,240.89689028701397
img94,-0.0150,239.54814673450056
img99,-0.0025,239.03094347345947
img100,0.0000,238.7147434273015
img101,0.0025,238.63921067670398
img106,0.0150,238.5364790322448
img120,0.0500,238.07903729312673
img140,0.0100,234.70509927255628
img160,0.1500,232.7828463397904
img180,0.2000,231.04826930599242
img200,0.2500,231.47251469029044

