red,green,blue,cat,alpha
100,139,170,100,0.15
101,140,171,100,0.15
103,140,169,100,0.15
101,138,165,100,0.15
99,134,162,100,0.15
97,133,159,100,0.15
97,133,157,100,0.15
97,135,158,100,0.15
102,140,163,100,0.15
99,141,163,100,0.15
99,141,165,100,0.15
96,142,165,100,0.15
96,142,168,100,0.15
96,146,171,100,0.15
101,151,178,100,0.15
105,155,182,100,0.15
107,150,184,100,0.15
110,150,185,100,0.15
111,152,184,100,0.15
112,153,183,100,0.15
113,154,184,100,0.15
112,153,181,100,0.15
111,153,178,100,0.15
110,152,177,100,0.15
111,153,178,100,0.15
117,159,184,100,0.15
124,165,193,100,0.15
124,165,193,100,0.15
119,160,192,100,0.15
113,154,186,100,0.15
111,151,186,100,0.15
110,153,188,100,0.15
97,145,181,100,0.15
96,146,183,100,0.15
98,146,182,100,0.15
97,146,179,100,0.15
99,143,178,100,0.15
101,144,176,100,0.15
105,146,176,100,0.15
108,148,174,100,0.15
111,147,173,100,0.15
114,149,171,100,0.15
117,149,172,100,0.15
118,149,169,100,0.15
129,156,177,100,0.15
137,164,183,100,0.15
137,163,180,100,0.15
127,156,174,100,0.15
132,165,184,100,0.15
125,162,181,100,0.15
117,153,175,100,0.15
111,147,169,100,0.15
113,151,174,100,0.15
121,159,182,100,0.15
123,163,188,100,0.15
121,161,186,100,0.15
120,161,189,100,0.15
119,160,188,100,0.15
114,157,189,100,0.15
110,153,185,100,0.15
106,151,184,100,0.15
105,150,183,100,0.15
108,153,186,100,0.15
111,154,186,100,0.15
112,152,178,100,0.15
114,151,177,100,0.15
110,147,173,100,0.15
103,140,166,100,0.15
95,132,158,100,0.15
86,123,149,100,0.15
76,113,139,100,0.15
68,105,131,100,0.15
67,104,130,100,0.15
67,104,130,100,0.15
69,106,132,100,0.15
75,112,138,100,0.15
83,120,146,100,0.15
91,128,154,100,0.15
96,133,159,100,0.15
96,136,162,100,0.15
103,146,178,100,0.15
102,147,180,100,0.15
104,147,179,100,0.15
106,149,181,100,0.15
107,151,180,100,0.15
105,149,178,100,0.15
103,144,172,100,0.15
100,141,169,100,0.15
91,131,157,100,0.15
93,133,159,100,0.15
99,136,162,100,0.15
105,142,168,100,0.15
111,147,173,100,0.15
114,150,176,100,0.15
115,149,174,100,0.15
114,148,173,100,0.15
116,146,170,100,0.15
118,148,172,100,0.15
118,150,175,100,0.15
116,148,173,100,0.15
112,146,173,100,0.15
112,148,174,100,0.15
116,151,179,100,0.15
117,157,183,100,0.15
119,160,190,100,0.15
116,161,190,100,0.15
116,161,194,100,0.15
115,161,194,100,0.15
113,162,195,100,0.15
111,160,193,100,0.15
109,159,194,100,0.15
111,157,190,100,0.15
110,147,174,100,0.15
109,143,168,100,0.15
105,139,164,100,0.15
101,135,160,100,0.15
97,131,156,100,0.15
94,128,153,100,0.15
93,127,152,100,0.15
92,126,151,100,0.15
93,127,152,100,0.15
101,135,160,100,0.15
111,145,170,100,0.15
118,152,177,100,0.15
120,154,179,100,0.15
121,155,180,100,0.15
123,157,182,100,0.15
126,158,179,100,0.15
128,156,170,100,0.15
125,152,163,100,0.15
123,151,163,100,0.15
128,158,169,100,0.15
136,165,181,100,0.15
137,170,187,100,0.15
134,167,186,100,0.15
126,162,184,100,0.15
118,154,180,100,0.15
115,154,183,100,0.15
113,152,183,100,0.15
105,148,180,100,0.15
102,145,180,100,0.15
104,148,183,100,0.15
111,157,193,100,0.15
118,164,198,100,0.15
117,160,195,100,0.15
117,160,194,100,0.15
118,161,195,100,0.15
119,162,196,100,0.15
118,161,196,100,0.15
117,160,195,100,0.15
116,159,194,100,0.15
115,158,193,100,0.15
111,153,191,100,0.15
108,150,188,100,0.15
104,146,184,100,0.15
102,144,182,100,0.15
102,144,184,100,0.15
103,145,185,100,0.15
104,146,186,100,0.15
104,146,186,100,0.15
110,152,192,100,0.15
109,151,191,100,0.15
106,148,186,100,0.15
102,144,182,100,0.15
97,140,175,100,0.15
91,134,169,100,0.15
84,127,161,100,0.15
80,123,157,100,0.15
78,121,153,100,0.15
85,128,160,100,0.15
93,137,166,100,0.15
99,143,172,100,0.15
102,146,173,100,0.15
104,148,175,100,0.15
107,151,178,100,0.15
108,154,180,100,0.15
103,150,180,100,0.15
100,149,179,100,0.15
102,148,181,100,0.15
102,148,181,100,0.15
104,148,183,100,0.15
103,147,182,100,0.15
104,144,180,100,0.15
103,143,178,100,0.15
110,146,180,100,0.15
110,145,175,100,0.15
115,149,177,100,0.15
123,155,180,100,0.15
124,155,176,100,0.15
117,148,166,100,0.15
