red,green,blue,cat,alpha
74,78,64,7,-0.25
78,82,68,7,-0.25
89,93,78,7,-0.25
96,100,85,7,-0.25
89,96,78,7,-0.25
77,86,65,7,-0.25
74,83,62,7,-0.25
75,89,64,7,-0.25
84,98,72,7,-0.25
86,102,73,7,-0.25
83,102,72,7,-0.25
83,102,70,7,-0.25
88,110,74,7,-0.25
99,121,85,7,-0.25
99,124,85,7,-0.25
97,119,83,7,-0.25
100,113,85,7,-0.25
104,114,89,7,-0.25
106,116,92,7,-0.25
93,103,79,7,-0.25
71,83,59,7,-0.25
70,82,58,7,-0.25
76,88,66,7,-0.25
72,84,62,7,-0.25
63,77,54,7,-0.25
63,77,54,7,-0.25
67,80,60,7,-0.25
75,88,68,7,-0.25
77,92,71,7,-0.25
75,90,69,7,-0.25
74,89,70,7,-0.25
77,90,72,7,-0.25
88,95,77,7,-0.25
84,88,71,7,-0.25
81,88,70,7,-0.25
88,95,77,7,-0.25
93,102,81,7,-0.25
91,103,81,7,-0.25
91,103,81,7,-0.25
90,105,82,7,-0.25
99,115,89,7,-0.25
93,111,85,7,-0.25
91,111,83,7,-0.25
90,113,84,7,-0.25
83,106,77,7,-0.25
71,96,66,7,-0.25
67,92,60,7,-0.25
71,95,63,7,-0.25
87,108,75,7,-0.25
75,94,62,7,-0.25
68,89,56,7,-0.25
74,95,62,7,-0.25
78,100,64,7,-0.25
75,97,61,7,-0.25
76,101,62,7,-0.25
84,109,70,7,-0.25
78,103,63,7,-0.25
80,105,65,7,-0.25
87,114,71,7,-0.25
95,122,79,7,-0.25
96,123,78,7,-0.25
91,118,73,7,-0.25
89,118,72,7,-0.25
91,120,74,7,-0.25
97,124,81,7,-0.25
86,113,70,7,-0.25
75,102,59,7,-0.25
74,101,58,7,-0.25
83,110,67,7,-0.25
88,115,72,7,-0.25
85,112,71,7,-0.25
79,106,65,7,-0.25
61,87,48,7,-0.25
57,83,44,7,-0.25
55,81,42,7,-0.25
59,85,46,7,-0.25
66,92,55,7,-0.25
69,95,58,7,-0.25
66,92,55,7,-0.25
62,86,50,7,-0.25
65,84,54,7,-0.25
69,85,56,7,-0.25
75,91,62,7,-0.25
84,100,71,7,-0.25
89,104,73,7,-0.25
89,104,73,7,-0.25
91,106,75,7,-0.25
95,110,79,7,-0.25
90,107,73,7,-0.25
94,114,79,7,-0.25
106,126,91,7,-0.25
112,136,100,7,-0.25
104,130,91,7,-0.25
83,114,73,7,-0.25
70,101,60,7,-0.25
68,99,58,7,-0.25
72,100,60,7,-0.25
73,99,60,7,-0.25
73,99,60,7,-0.25
74,100,61,7,-0.25
75,101,64,7,-0.25
75,101,64,7,-0.25
72,98,63,7,-0.25
70,96,61,7,-0.25
70,95,63,7,-0.25
66,91,59,7,-0.25
64,89,59,7,-0.25
68,93,63,7,-0.25
76,101,72,7,-0.25
86,111,82,7,-0.25
91,116,87,7,-0.25
94,119,87,7,-0.25
94,116,80,7,-0.25
81,106,66,7,-0.25
79,106,65,7,-0.25
86,117,75,7,-0.25
85,117,76,7,-0.25
68,105,62,7,-0.25
59,96,55,7,-0.25
60,98,57,7,-0.25
56,92,54,7,-0.25
63,97,60,7,-0.25
58,88,54,7,-0.25
59,84,52,7,-0.25
80,99,71,7,-0.25
90,104,78,7,-0.25
76,89,63,7,-0.25
65,73,49,7,-0.25
80,85,65,7,-0.25
89,94,74,7,-0.25
93,98,76,7,-0.25
99,109,84,7,-0.25
111,125,99,7,-0.25
110,129,99,7,-0.25
106,127,94,7,-0.25
109,133,99,7,-0.25
103,127,93,7,-0.25
89,110,77,7,-0.25
91,110,80,7,-0.25
93,108,79,7,-0.25
82,92,68,7,-0.25
90,98,75,7,-0.25
105,108,89,7,-0.25
95,100,80,7,-0.25
88,97,78,7,-0.25
88,100,78,7,-0.25
88,102,79,7,-0.25
88,102,76,7,-0.25
87,103,76,7,-0.25
85,104,72,7,-0.25
87,106,74,7,-0.25
89,111,73,7,-0.25
86,111,72,7,-0.25
84,111,70,7,-0.25
80,106,67,7,-0.25
73,101,61,7,-0.25
66,96,58,7,-0.25
66,96,58,7,-0.25
70,102,63,7,-0.25
75,105,67,7,-0.25
84,111,78,7,-0.25
91,115,83,7,-0.25
111,127,100,7,-0.25
99,112,86,7,-0.25
87,92,70,7,-0.25
82,87,65,7,-0.25
76,81,59,7,-0.25
86,96,72,7,-0.25
87,103,77,7,-0.25
84,104,76,7,-0.25
81,106,76,7,-0.25
81,108,73,7,-0.25
83,107,73,7,-0.25
85,107,71,7,-0.25
86,106,69,7,-0.25
88,105,71,7,-0.25
88,101,73,7,-0.25
85,98,72,7,-0.25
81,95,70,7,-0.25
83,99,73,7,-0.25
93,108,85,7,-0.25
102,120,96,7,-0.25
107,126,104,7,-0.25
106,128,105,7,-0.25
100,123,97,7,-0.25
99,123,97,7,-0.25
97,122,93,7,-0.25
93,118,88,7,-0.25
88,113,83,7,-0.25
84,110,75,7,-0.25
82,108,73,7,-0.25
85,106,75,7,-0.25
88,102,79,7,-0.25
84,93,76,7,-0.25
84,91,75,7,-0.25
92,99,83,7,-0.25
102,106,89,7,-0.25
105,109,92,7,-0.25
110,113,96,7,-0.25
115,118,101,7,-0.25
107,112,92,7,-0.25
105,110,90,7,-0.25
112,120,99,7,-0.25
115,124,103,7,-0.25
107,116,95,7,-0.25
105,117,95,7,-0.25
110,124,101,7,-0.25
108,124,98,7,-0.25
90,106,80,7,-0.25
96,115,87,7,-0.25
102,118,92,7,-0.25
103,119,93,7,-0.25
111,125,102,7,-0.25
117,131,108,7,-0.25
106,117,100,7,-0.25
86,97,80,7,-0.25
72,78,64,7,-0.25
74,80,66,7,-0.25
82,83,75,7,-0.25
87,88,80,7,-0.25
96,95,90,7,-0.25
107,106,101,7,-0.25
121,117,114,7,-0.25
126,125,123,7,-0.25
