,subj,cat,seed,left_alpha,right_alpha,delta_alpha,correct_key,user_key,eval,time
0,mr_random,28,5,0,0.02,0.02,right,left,0,1.908
1,mr_random,13,4,0.02,0,0.02,left,right,0,0.755
2,mr_random,18,2,-0.02,0,-0.02,right,left,0,0.457
3,mr_random,15,4,-0.01,0,-0.01,right,right,1,0.449
4,mr_random,8,7,0,0.03,0.03,right,left,0,0.46
5,mr_random,29,1,0,0.03,0.03,right,left,0,0.213
6,mr_random,27,6,0,0.01,0.01,right,left,0,0.197
7,mr_random,27,5,0.02,0,0.02,left,right,0,0.218
8,mr_random,23,4,0,-0.01,-0.01,left,left,1,0.226
9,mr_random,17,5,0.02,0,0.02,left,right,0,0.268
10,mr_random,3,7,0,0.03,0.03,right,left,0,0.234
11,mr_random,2,7,0.02,0,0.02,left,left,1,0.165
12,mr_random,26,8,0,-0.03,-0.03,left,left,1,0.245
13,mr_random,29,5,0.03,0,0.03,left,right,0,0.261
14,mr_random,2,0,0,0.03,0.03,right,left,0,0.251
15,mr_random,0,2,-0.01,0,-0.01,right,left,0,0.314
16,mr_random,13,5,0,-0.02,-0.02,left,left,1,0.229
17,mr_random,28,4,0,-0.02,-0.02,left,right,0,0.237
18,mr_random,21,5,0.03,0,0.03,left,right,0,0.39
19,mr_random,10,1,0,-0.01,-0.01,left,left,1,0.284
20,mr_random,0,4,0,-0.01,-0.01,left,left,1,0.226
21,mr_random,22,7,0.03,0,0.03,left,left,1,0.195
22,mr_random,28,5,0,-0.02,-0.02,left,right,0,0.396
23,mr_random,27,3,-0.02,0,-0.02,right,right,1,0.261
24,mr_random,30,8,-0.03,0,-0.03,right,right,1,0.482
25,mr_random,9,1,-0.01,0,-0.01,right,right,1,0.352
26,mr_random,4,5,0.01,0,0.01,left,right,0,0.278
27,mr_random,25,6,0.02,0,0.02,left,left,1,0.412
28,mr_random,20,6,-0.01,0,-0.01,right,left,0,0.313
29,mr_random,25,3,0,-0.02,-0.02,left,left,1,0.189
30,mr_random,0,6,0.01,0,0.01,left,right,0,0.22
31,mr_random,3,5,0,0.01,0.01,right,left,0,0.333
32,mr_random,10,2,0,0.03,0.03,right,right,1,0.178
33,mr_random,18,6,-0.01,0,-0.01,right,left,0,0.234
34,mr_random,3,7,0.03,0,0.03,left,left,1,0.169
35,mr_random,23,4,0,-0.02,-0.02,left,left,1,0.213
36,mr_random,5,4,0.01,0,0.01,left,right,0,0.229
37,mr_random,9,5,-0.01,0,-0.01,right,left,0,0.346
38,mr_random,4,3,0,-0.03,-0.03,left,left,1,0.189
39,mr_random,20,5,-0.02,0,-0.02,right,right,1,0.241
40,mr_random,0,0,-0.01,0,-0.01,right,left,0,0.397
41,mr_random,25,4,-0.02,0,-0.02,right,left,0,0.193
42,mr_random,6,7,-0.02,0,-0.02,right,right,1,0.185
43,mr_random,10,6,0.02,0,0.02,left,right,0,0.226
44,mr_random,24,3,0.02,0,0.02,left,right,0,0.189
45,mr_random,8,4,0,-0.03,-0.03,left,left,1,0.226
46,mr_random,6,0,0,-0.02,-0.02,left,left,1,0.211
47,mr_random,1,2,0.03,0,0.03,left,left,1,0.17
48,mr_random,22,1,0.01,0,0.01,left,right,0,0.149
49,mr_random,28,5,0.02,0,0.02,left,right,0,0.216
50,mr_random,2,6,0,0.02,0.02,right,left,0,0.233
51,mr_random,28,1,0,-0.01,-0.01,left,right,0,0.369
52,mr_random,18,0,0.03,0,0.03,left,left,1,0.189
53,mr_random,0,5,0,-0.02,-0.02,left,left,1,0.217
