,0,1,2
0,n01440764,tench,fish
1,n01443537,goldfish,fish
2,n01484850,great_white_shark,shark
3,n01491361,tiger_shark,shark
4,n01494475,hammerhead,shark
5,n01496331,electric_ray,fish
6,n01498041,stingray,fish
7,n01514668,cock,bird
8,n01514859,hen,bird
9,n01518878,ostrich,bird
10,n01530575,brambling,bird
11,n01531178,goldfinch,bird
12,n01532829,house_finch,bird
13,n01534433,junco,bird
14,n01537544,indigo_bunting,bird
15,n01558993,robin,bird
16,n01560419,bulbul,bird
17,n01580077,jay,bird
18,n01582220,magpie,bird
19,n01592084,chickadee,bird
20,n01601694,water_ouzel,bird
21,n01608432,kite,bird
22,n01614925,bald_eagle,bird
23,n01616318,vulture,bird
24,n01622779,great_grey_owl,bird
25,n01629819,European_fire_salamander,salamander
26,n01630670,common_newt,salamander
27,n01631663,eft,salamander
28,n01632458,spotted_salamander,salamander
29,n01632777,axolotl,salamander
30,n01641577,bullfrog,frog
31,n01644373,tree_frog,frog
32,n01644900,tailed_frog,frog
33,n01664065,loggerhead,turtle
34,n01665541,leatherback_turtle,turtle
35,n01667114,mud_turtle,turtle
36,n01667778,terrapin,turtle
37,n01669191,box_turtle,turtle
38,n01675722,banded_gecko,lizard
39,n01677366,common_iguana,lizard
40,n01682714,American_chameleon,lizard
41,n01685808,whiptail,lizard
42,n01687978,agama,lizard
43,n01688243,frilled_lizard,lizard
44,n01689811,alligator_lizard,lizard
45,n01692333,Gila_monster,lizard
46,n01693334,green_lizard,lizard
47,n01694178,African_chameleon,lizard
48,n01695060,Komodo_dragon,lizard
49,n01697457,African_crocodile,crocodile
50,n01698640,American_alligator,crocodile
51,n01704323,triceratops,dinosaur
52,n01728572,thunder_snake,snake
53,n01728920,ringneck_snake,snake
54,n01729322,hognose_snake,snake
55,n01729977,green_snake,snake
56,n01734418,king_snake,snake
57,n01735189,garter_snake,snake
58,n01737021,water_snake,snake
59,n01739381,vine_snake,snake
60,n01740131,night_snake,snake
61,n01742172,boa_constrictor,snake
62,n01744401,rock_python,snake
63,n01748264,Indian_cobra,snake
64,n01749939,green_mamba,snake
65,n01751748,sea_snake,fish
66,n01753488,horned_viper,snake
67,n01755581,diamondback,snake
68,n01756291,sidewinder,snake
69,n01768244,trilobite,trilobite
70,n01770081,harvestman,arachnid
71,n01770393,scorpion,arachnid
72,n01773157,black_and_gold_garden_spider,arachnid
73,n01773549,barn_spider,arachnid
74,n01773797,garden_spider,arachnid
75,n01774384,black_widow,arachnid
76,n01774750,tarantula,arachnid
77,n01775062,wolf_spider,arachnid
78,n01776313,tick,bug
79,n01784675,centipede,bug
80,n01795545,black_grouse,bird
81,n01796340,ptarmigan,bird
82,n01797886,ruffed_grouse,bird
83,n01798484,prairie_chicken,bird
84,n01806143,peacock,bird
85,n01806567,quail,bird
86,n01807496,partridge,bird
87,n01817953,African_grey,bird
88,n01818515,macaw,bird
89,n01819313,sulphur-crested_cockatoo,bird
90,n01820546,lorikeet,bird
91,n01824575,coucal,bird
92,n01828970,bee_eater,bird
93,n01829413,hornbill,bird
94,n01833805,hummingbird,bird
95,n01843065,jacamar,bird
96,n01843383,toucan,bird
97,n01847000,drake,bird
98,n01855032,red-breasted_merganser,bird
99,n01855672,goose,bird
100,n01860187,black_swan,bird
101,n01871265,tusker,ungulate
102,n01872401,echidna,monotreme
103,n01873310,platypus,monotreme
104,n01877812,wallaby,marsupial
105,n01882714,koala,marsupial
106,n01883070,wombat,marsupial
107,n01910747,jellyfish,fish
108,n01914609,sea_anemone,coral
109,n01917289,brain_coral,coral
